userId,movieId,rating
10815242,1,3
10815242,2,3.5
10815242,3,4
10815242,4,4.5
10815242,5,5
17729060,1,3
17729060,2,3.5
17729060,3,4
17729060,4,4.5
17729060,5,5
4255187,1,3
4255187,2,3.5
4255187,3,4
4255187,4,4.5
4255187,5,5
8613072,1,3
8613072,2,3.5
8613072,3,4
8613072,4,4.5
8613072,5,5
10941605,1,3
10941605,2,3.5
10941605,3,4
10941605,4,4.5
10941605,5,5
16308961,1,3
16308961,2,3.5
16308961,3,4
16308961,4,4.5
16308961,5,5
15566807,1,3
15566807,2,3.5
15566807,3,4
15566807,4,4.5
15566807,5,5
834793,1,3
834793,2,3.5
834793,3,4
834793,4,4.5
834793,5,5
5026453,1,3
5026453,2,3.5
5026453,3,4
5026453,4,4.5
5026453,5,5
11114297,1,3
11114297,2,3.5
11114297,3,4
11114297,4,4.5
11114297,5,5
10702758,1,3
10702758,2,3.5
10702758,3,4
10702758,4,4.5
10702758,5,5
7737341,1,3
7737341,2,3.5
7737341,3,4
7737341,4,4.5
7737341,5,5
3276293,1,3
3276293,2,3.5
3276293,3,4
3276293,4,4.5
3276293,5,5
3095671,1,3
3095671,2,3.5
3095671,3,4
3095671,4,4.5
3095671,5,5
17288908,1,3
17288908,2,3.5
17288908,3,4
17288908,4,4.5
17288908,5,5
8470403,1,3
8470403,2,3.5
8470403,3,4
8470403,4,4.5
8470403,5,5
19890205,1,3
19890205,2,3.5
19890205,3,4
19890205,4,4.5
19890205,5,5
17530434,1,3
17530434,2,3.5
17530434,3,4
17530434,4,4.5
17530434,5,5
6270484,1,3
6270484,2,3.5
6270484,3,4
6270484,4,4.5
6270484,5,5
516,1,3
516,2,3.5
516,3,4
516,4,4.5
516,5,5
6166161,1,3
6166161,2,3.5
6166161,3,4
6166161,4,4.5
6166161,5,5
2301347,1,3
2301347,2,3.5
2301347,3,4
2301347,4,4.5
2301347,5,5
3790351,1,3
3790351,2,3.5
3790351,3,4
3790351,4,4.5
3790351,5,5
8198943,1,3
8198943,2,3.5
8198943,3,4
8198943,4,4.5
8198943,5,5
8295317,1,3
8295317,2,3.5
8295317,3,4
8295317,4,4.5
8295317,5,5
383996,1,3
383996,2,3.5
383996,3,4
383996,4,4.5
383996,5,5
6688345,1,3
6688345,2,3.5
6688345,3,4
6688345,4,4.5
6688345,5,5
14881629,1,3
14881629,2,3.5
14881629,3,4
14881629,4,4.5
14881629,5,5
18011290,1,3
18011290,2,3.5
18011290,3,4
18011290,4,4.5
18011290,5,5
7097974,1,3
7097974,2,3.5
7097974,3,4
7097974,4,4.5
7097974,5,5
3928234,1,3
3928234,2,3.5
3928234,3,4
3928234,4,4.5
3928234,5,5
6742962,1,3
6742962,2,3.5
6742962,3,4
6742962,4,4.5
6742962,5,5
3209781,1,3
3209781,2,3.5
3209781,3,4
3209781,4,4.5
3209781,5,5
19233941,1,3
19233941,2,3.5
19233941,3,4
19233941,4,4.5
19233941,5,5
1676483,1,3
1676483,2,3.5
1676483,3,4
1676483,4,4.5
1676483,5,5
16619875,1,3
16619875,2,3.5
16619875,3,4
16619875,4,4.5
16619875,5,5
903127,1,3
903127,2,3.5
903127,3,4
903127,4,4.5
903127,5,5
17245525,1,3
17245525,2,3.5
17245525,3,4
17245525,4,4.5
17245525,5,5
7569560,1,3
7569560,2,3.5
7569560,3,4
7569560,4,4.5
7569560,5,5
909736,1,3
909736,2,3.5
909736,3,4
909736,4,4.5
909736,5,5
19274378,1,3
19274378,2,3.5
19274378,3,4
19274378,4,4.5
19274378,5,5
9307056,1,3
9307056,2,3.5
9307056,3,4
9307056,4,4.5
9307056,5,5
8304123,1,3
8304123,2,3.5
8304123,3,4
8304123,4,4.5
8304123,5,5
2295096,1,3
2295096,2,3.5
2295096,3,4
2295096,4,4.5
2295096,5,5
4529326,1,3
4529326,2,3.5
4529326,3,4
4529326,4,4.5
4529326,5,5
4950224,1,3
4950224,2,3.5
4950224,3,4
4950224,4,4.5
4950224,5,5
6349372,1,3
6349372,2,3.5
6349372,3,4
6349372,4,4.5
6349372,5,5
17437632,1,3
17437632,2,3.5
17437632,3,4
17437632,4,4.5
17437632,5,5
9533258,1,3
9533258,2,3.5
9533258,3,4
9533258,4,4.5
